"","body.weight","body.length","trunk.length","withers.height","thoracic.perimeter","hip.length","ear.length"
"1",45.2,105,79,74,93,23,26
"2",41.5,100,67,72,81.5,18,24.2
"3",22,88,62,64.5,74.5,14,14.5
"4",16.5,86,59,62,63,12,14
"5",30,96,61.5,63.5,73.5,15.5,16.3
"6",34.5,88,66,66,80.5,16,18.5
"7",18.5,89,62,58,73.5,11.5,13.2
"8",26,89,63,70,74.5,16.5,14
"9",22,93,65,66,68.5,15.5,15
"10",34,114,72,71,80,20,20
"11",36.5,97,69,71,83,19,16
"12",31,106,69,69.5,76.5,17.5,18.2
"13",32,101,66,67,78,19,19.5
"14",37.5,108,66,73,78,21,20
"15",28,92,60,60,72,18,16
"16",37.4,110,69,72,78,20,18.5
"17",41.5,95,72,74,86,19,20
"18",38.5,110,69,73,83,20,21.5
"19",31.5,97,63,66.5,77,19,20
"20",31.5,92,70,67,77,18,20
"21",40.5,116,72,69,80,20,19
"22",30,98,68,68,80,17,19.5
"23",29,94,64,63,76,19,17
"24",31.5,96,68,72,77,16,17.5
"25",29,107,71,73,77,19,19
"26",35,106,79,67,78,20,18
"27",39,108,70,70,81,19,16
"28",33,101,68,64,79,19,19
"29",56,113,80,77,80,23,19
"30",43,105,68,75,81,21,25
"31",34,105,65,61,74,20,15
"32",32,106,66,65,71,18,17
"33",55,116,71,81,87,22,23
"34",35,100,64,70,74,18,13
"35",29.5,90,57,59,66,17,12.5
"36",18,99,67,60,73,17,12
"37",48,108,66,72,81,18,18
"38",30,97,62,64,70,14,14
"39",40,110,70,65,80,20,18
"40",37,101,66,61,73,17,16
"41",27,102,63,62,69,17,16.5
"42",25,95,67,65,70,13,16
"43",25,93,62,63,66,21,18
"44",27,96,64,66,69,22,20
"45",29,100,72,66,72,22,18
"46",26,96,62,66,69,21,19
"47",28,97,63,67,67,23,22
"48",32.5,93,58,63,69,17,17
"49",44,101,67,73,80,21,21
"50",26,97,63,65,69,18,17
"51",30,88,62,64,73,19,20
"52",25,95,57,66,66,16,16
